BATCH,VEHICLE,BANK,KM,YEAR,FUEL,COLOR,FIPE,YARD,RESUME-TYPE,TYPE,HAS-KEY
84,yamaha ybr 150 factor ed/flex,ITAPEVA II MULTICARTEIRA,39.681,21/22,Flex,PRETA,"R$ 14.359,00",PATIO MANAUS,Recuperado de Financiamento,Motos,Sim
85,honda/cg 160 titan,ITAPEVA II MULTICARTEIRA,34.448,20/20,Flex,VERMELHA,"R$ 16.167,00",BENEVIDES-PA,Recuperado de Financiamento,Motos,Sim
90,kia/soul ex ff at (4p),CREDITAS SOLUCOES FINANCEIRAS LTDA,128.051,10/11,Flex,CINZA,"R$ 43.865,00",BENEVIDES-PA,Recuperado de Financiamento,Veículos,Sim
110,renault/logan life,BANCO SANTANDER S/A,140.074,19/20,Flex,BRANCA,"R$ 53.131,00",BENEVIDES-PA,Recuperado de Financiamento,Veículos,Sim
111,honda cg 160 fan/solmak trca/trcf/brazcar cargo,BANCO SANTANDER S/A,016,22/22,Flex,VERMELHA,"R$ 16.012,00",BENEVIDES-PA,Recuperado de Financiamento,Motos,Sim
112,honda/biz 125,BANCO SANTANDER S/A,4.258,22/22,Flex,BRANCA,"R$ 15.237,00",BENEVIDES-PA,Recuperado de Financiamento,Motos,Sim
115,volkswagen/gol mc4 (4p),BANCO SANTANDER S/A,51.511,21/22,Flex,VERMELHA,"R$ 62.746,00",PATIO MANAUS,Recuperado de Financiamento,Veículos,Sim
118,land rover/discovery3 tdv6 s,BANCO SANTANDER S/A,147.085,08/08,Diesel,PRATA,"R$ 68.106,00",PATIO MANAUS,Recuperado de Financiamento,Utilitários,Sim
121,ford/ka flex (2p/4p),BANCO SANTANDER S/A,76.785,08/09,Flex,PRATA,"R$ 19.141,00",BENEVIDES-PA,Recuperado de Financiamento,Veículos,Sim
124,volkswagen/polo (4p),BANCO SANTANDER S/A,297.809,07/07,Flex,VERMELHA,"R$ 26.480,00",PATIO MANAUS,Recuperado de Financiamento,Veículos,Sim
127,honda/cg 160 titan,BANCO SANTANDER S/A,12.014,21/22,Flex,AMARELA,"R$ 17.365,00",PATIO MANAUS,Recuperado de Financiamento,Motos,Sim
132,honda/cg 160 titan,BANCO SANTANDER S/A,42.665,21/22,Flex,AMARELA,"R$ 17.365,00",PATIO MANAUS,Recuperado de Financiamento,Motos,Sim
134,renault/sandero zen,BANCO SANTANDER S/A,107.775,21/22,Flex,BRANCA,"R$ 67.184,00",BENEVIDES-PA,Recuperado de Financiamento,Veículos,Sim
137,xinling/bull krc f5,BANCO SANTANDER S/A,4.240,21/21,Gasolina,BRANCA,"R$ 8.675,00",BENEVIDES-PA,Recuperado de Financiamento,Veículos,Sim
139,volkswagen/gol 1.0 (2p/4p),BANCO SANTANDER S/A,127.224,09/10,Flex,BRANCA,"R$ 26.151,00",PATIO MANAUS,Recuperado de Financiamento,Veículos,Sim
141,ford/ka flex (2p),BANCO SANTANDER S/A,,09/09,Flex,VERMELHA,"R$ 19.070,00",BENEVIDES-PA,Recuperado de Financiamento,Sucatas,Não
144,chevrolet/celta life 2p (2p/4p),BANCO SANTANDER S/A,115.741,09/10,Flex,VERMELHA,"R$ 18.419,00",BENEVIDES-PA,Recuperado de Financiamento,Veículos,Sim
