BATCH,VEHICLE,BANK,KM,YEAR,FUEL,COLOR,FIPE,YARD,RESUME-TYPE,TYPE,HAS-KEY
1,renault/kwid zen 1.0 mecanico,BANCO SANTANDER S/A,23.368,20/21,Flex,BRANCA,"R$ 49.991,00",PATIO 2 - FORTALEZA/CE,Recuperado de Financiamento,Veículos,Sim
2,chevrolet/prisma joye 1.0 mecanico (4p),BANCO SANTANDER S/A,58.003,19/19,Flex,BRANCA,"R$ 53.894,00",PATIO 2 - FORTALEZA/CE,Recuperado de Financiamento,Veículos,Sim
3,fiat/strada hard working cabine simples cc e,BANCO SANTANDER S/A,102.032,19/19,Flex,PRATA,"R$ 61.111,00",PATIO 2 - FORTALEZA/CE,Recuperado de Financiamento,Veículos,Sim
4,hyundai/hb20 unique (4p),BANCO SANTANDER S/A,72.312,19/19,Flex,BRANCA,"R$ 55.370,00",PATIO 2 - FORTALEZA/CE,Recuperado de Financiamento,Veículos,Sim
5,ford/ka se c,BANCO SANTANDER S/A,119.655,19/20,Flex,BRANCA,"R$ 57.698,00",PATIO 2 - FORTALEZA/CE,Recuperado de Financiamento,Veículos,Sim
6,fiat/argo drive 1.0 (4p),BANCO SANTANDER S/A,53.201,18/18,Flex,VERMELHA,"R$ 54.644,00",PATIO 2 - FORTALEZA/CE,Recuperado de Financiamento,Veículos,Sim
7,volkswagen/novo gol trendline mcv (4p),BANCO SANTANDER S/A,93.264,18/18,Flex,BRANCA,"R$ 46.909,00",PATIO 2 - FORTALEZA/CE,Recuperado de Financiamento,Veículos,Sim
8,volkswagen/jetta highline ae (4p),BANCO SANTANDER S/A,124.126,16/16,Gasolina,BRANCA,"R$ 93.171,00",PATIO 2 - FORTALEZA/CE,Recuperado de Financiamento,Veículos,Sim
9,jeep/renegade longitude automatico,BANCO SANTANDER S/A,54.210,16/16,Flex,VERMELHA,"R$ 76.767,00",PATIO 2 - FORTALEZA/CE,Recuperado de Financiamento,Veículos,Sim
10,volkswagen/amarok cabine dupla 4x4 se,BANCO SANTANDER S/A,105.284,16/17,Diesel,BRANCA,"R$ 111.148,00",PATIO 2 - FORTALEZA/CE,Recuperado de Financiamento,Utilitários,Sim
14,honda/cg 125 cargo ks,NORSA REFRIGERANTES S/A,62.363,13/13,Gasolina,VERMELHA,"R$ 7.839,00",PATIO FORTALEZA/CE,Frota,Motos,Não
15,honda/cg 125 cargo ks,NORSA REFRIGERANTES S/A,80.890,13/13,Gasolina,VERMELHA,"R$ 7.839,00",PATIO FORTALEZA/CE,Frota,Motos,Não
16,honda/cg 125 cargo ks,NORSA REFRIGERANTES S/A,77.431,13/13,Gasolina,VERMELHA,"R$ 7.839,00",PATIO FORTALEZA/CE,Frota,Motos,Não
17,honda/cg 125 cargo ks,NORSA REFRIGERANTES S/A,74.113,13/13,Gasolina,VERMELHA,"R$ 7.839,00",PATIO FORTALEZA/CE,Frota,Motos,Não
18,honda/cg 125 cargo ks,NORSA REFRIGERANTES S/A,83.285,13/13,Gasolina,VERMELHA,"R$ 7.839,00",PATIO FORTALEZA/CE,Frota,Motos,Não
19,honda/cg 125 cargo ks,NORSA REFRIGERANTES S/A,23.536,14/14,Gasolina,BRANCA,"R$ 8.715,00",PATIO FORTALEZA/CE,Frota,Motos,Não
20,chevrolet/onix lt 1.0 mecanico (4p),BANCO VOLKSWAGEN S/A,74.804,17/17,Flex,BRANCA,"R$ 50.743,00",PATIO FORTALEZA/CE,Recuperado de Financiamento,Veículos,Sim
21,ford/ranger xl cabine dupla 2 25,BANCO VOLKSWAGEN S/A,129.729,14/15,Flex,BRANCA,"R$ 87.000,00",PATIO FORTALEZA/CE,Recuperado de Financiamento,Utilitários,Sim
22,renault/kwid zen 1.0 mecanico,BANCO VOLKSWAGEN S/A,149.556,18/19,Flex,BRANCA,"R$ 45.394,00",PATIO FORTALEZA/CE,Recuperado de Financiamento,Veículos,Sim
23,ford/ka se (4p),BANCO VOLKSWAGEN S/A,102.655,14/15,Flex,BRANCA,"R$ 42.234,00",PATIO FORTALEZA/CE,Recuperado de Financiamento,Veículos,Sim
24,volkswagen/virtus af,BANCO VOLKSWAGEN S/A,79.958,20/21,Flex,BRANCA,"R$ 84.918,00",PATIO FORTALEZA/CE,Recuperado de Financiamento,Veículos,Sim
25,hyundai/hb20 unique (4p),BANCO VOLKSWAGEN S/A,124.624,18/19,Flex,PRATA,"R$ 56.161,00",PATIO FORTALEZA/CE,Recuperado de Financiamento,Veículos,Sim
26,volkswagen/gol mc4 (4p),BANCO VOLKSWAGEN S/A,228.385,19/20,Flex,BRANCA,"R$ 52.157,00",PATIO FORTALEZA/CE,Recuperado de Financiamento,Veículos,Sim
27,hyundai/hb20s comfortline (4p),BANCO VOLKSWAGEN S/A,174.126,14/14,Flex,PRATA,"R$ 45.744,00",PATIO FORTALEZA/CE,Recuperado de Financiamento,Veículos,Sim
28,volkswagen/polo comfortline ad,BANCO VOLKSWAGEN S/A,50.641,19/20,Flex,AZUL,"R$ 84.521,00",PATIO FORTALEZA/CE,Recuperado de Financiamento,Veículos,Sim
29,chevrolet/tracker ltz at,BANCO VOLKSWAGEN S/A,94.265,14/15,Flex,BRANCA,"R$ 70.343,00",PATIO FORTALEZA/CE,Recuperado de Financiamento,Veículos,Sim
30,citroen/aircross shine at,BANCO VOLKSWAGEN S/A,65.222,17/18,Flex,CINZA,"R$ 63.938,00",PATIO FORTALEZA/CE,Recuperado de Financiamento,Veículos,Sim
