BATCH,VEHICLE,BANK,KM,YEAR,FUEL,COLOR,FIPE,YARD,RESUME-TYPE,TYPE,HAS-KEY
183,volkswagen/novo fox comfortline mb (4p),BANCO SANTANDER S/A,99.652,15/15,Flex,PRATA,"R$ 46.458,00",PATIO 2 - FORTALEZA/CE,Recuperado de Financiamento,Veículos,Sim
186,fiat/linea essence (4p),BANCO SANTANDER S/A,244.614,15/16,Flex,BRANCA,"R$ 44.425,00",PATIO 2 - FORTALEZA/CE,Recuperado de Financiamento,Veículos,Sim
188,ford/ecosport freestyle at,BANCO SANTANDER S/A,89.186,15/15,Flex,BRANCA,"R$ 57.532,00",PATIO 2 - FORTALEZA/CE,Recuperado de Financiamento,Veículos,Sim
192,chevrolet/zafira elite,BANCO SANTANDER S/A,428.061,11/12,Flex,PRATA,"R$ 41.589,00",PATIO 2 - FORTALEZA/CE,Não informada,Veículos,Sim
194,citroen/c4 glx5p f (4p),BANCO SANTANDER S/A,141.772,11/12,Flex,PRETA,"R$ 31.801,00",PATIO 2 - FORTALEZA/CE,Recuperado de Financiamento,Veículos,Sim
196,fiat/bravo absolute (4p),BANCO SANTANDER S/A,,11/12,Flex,CINZA,"R$ 33.512,00",PATIO 2 - FORTALEZA/CE,Recuperado de Financiamento,Veículos,Sim
200,toyota/etios sd xls (4p),BANCO SANTANDER S/A,167.440,14/14,Flex,PRATA,"R$ 41.943,00",PATIO 2 - FORTALEZA/CE,Recuperado de Financiamento,Veículos,Sim
202,honda/cb 300r limited,BANCO SANTANDER S/A,63.402,14/14,Gasolina,BRANCA,"R$ 12.313,00",PATIO 2 - FORTALEZA/CE,Recuperado de Financiamento,Motos,Sim
204,fiat/uno mille way economy (2p/4p),BANCO SANTANDER S/A,179.846,12/13,Flex,PRATA,"R$ 26.401,00",PATIO 2 - FORTALEZA/CE,Recuperado de Financiamento,Veículos,Sim
206,ford/fiesta flex (4p),BANCO SANTANDER S/A,176.181,14/14,Flex,PRATA,"R$ 30.046,00",PATIO 2 - FORTALEZA/CE,Recuperado de Financiamento,Veículos,Sim
209,fiat/siena el flex (4p),BANCO SANTANDER S/A,193.439,13/14,Flex,BRANCA,"R$ 36.718,00",PATIO 2 - FORTALEZA/CE,Recuperado de Financiamento,Veículos,Sim
211,volkswagen/novo gol city (2p/4p),BANCO SANTANDER S/A,70.229,13/14,Flex,BRANCA,"R$ 38.865,00",PATIO 2 - FORTALEZA/CE,Recuperado de Financiamento,Veículos,Sim
213,ford/fiesta flex (4p),BANCO SANTANDER S/A,51.049,13/14,Flex,BRANCA,"R$ 30.046,00",PATIO 2 - FORTALEZA/CE,Recuperado de Financiamento,Veículos,Sim
215,mercedes-benz/415 cdi sprinter m,BANCO SANTANDER S/A,321.683,12/13,Diesel,BRANCA,"R$ 92.475,00",PATIO 2 - FORTALEZA/CE,Recuperado de Financiamento,Pesados,Sim
217,chevrolet/celta lt 1.0l (2p/4p),ITAPEVA II MULTICARTEIRA,99.411,11/12,Flex,PRETA,"R$ 28.120,00",PATIO 2 - FORTALEZA/CE,Recuperado de Financiamento,Veículos,Sim
219,renault/sandero expression (4p),BANCO SANTANDER S/A,156.322,11/11,Flex,CINZA,"R$ 28.154,00",PATIO 2 - FORTALEZA/CE,Recuperado de Financiamento,Veículos,Sim
221,hyundai/elantra gls (4p),BANCO SANTANDER S/A,103.416,11/12,Gasolina,PRETA,"R$ 59.700,00",PATIO 2 - FORTALEZA/CE,Recuperado de Financiamento,Veículos,Sim
223,fiat/siena el flex (4p),BANCO SANTANDER S/A,185.804,13/14,Flex,PRATA,"R$ 36.718,00",PATIO 2 - FORTALEZA/CE,Recuperado de Financiamento,Veículos,Sim
225,fiat/strada working,BANCO SANTANDER S/A,154.997,13/13,Flex,BRANCA,"R$ 39.244,00",PATIO 2 - FORTALEZA/CE,Recuperado de Financiamento,Veículos,Sim
228,chevrolet/cruze ltz nb (4p),BANCO SANTANDER S/A,104.362,13/13,Flex,BRANCA,"R$ 61.110,00",PATIO 2 - FORTALEZA/CE,Recuperado de Financiamento,Veículos,Sim
230,honda/cg 150 fan es,BANCO SANTANDER S/A,,12/12,Flex,VERMELHA,"R$ 9.726,00",PATIO 2 - FORTALEZA/CE,Recuperado de Financiamento,Motos,Não
232,chevrolet/prisma lt (4p),BANCO SANTANDER S/A,,12/12,Flex,BRANCA,"R$ 28.215,00",PATIO 2 - FORTALEZA/CE,Recuperado de Financiamento,Veículos,Não
234,fiat/uno mille way economy (2p/4p),BANCO SANTANDER S/A,195.240,12/13,Flex,BRANCA,"R$ 22.434,00",PATIO 2 - FORTALEZA/CE,Recuperado de Financiamento,Veículos,Sim
236,fiat/palio attractive 1.0 (2p/4p),BANCO SANTANDER S/A,99.909,12/13,Flex,PRETA,"R$ 30.039,00",PATIO 2 - FORTALEZA/CE,Recuperado de Financiamento,Veículos,Sim
236,fiat/palio attractive 1.0 (2p/4p),BANCO SANTANDER S/A,99.909,12/13,Flex,PRETA,"R$ 30.039,00",PATIO 2 - FORTALEZA/CE,Recuperado de Financiamento,Veículos,Sim
